Company Name,Symbol,% Funding provided under Pay Later (MTF)
"GREENPANEL INDUSTRIES LTD","GREENPANEL","60"
"GREENPLY INDUSTRIES LTD","GREENPLY","55"
"GRINDWELL NORTON LIMITED","GRINDWELL","60"
"G R INFRAPROJECTS LIMITED","GRINFRA","60"
"GARDEN REACH SHIP&ENG LTD","GRSE","0"
"GARWARE HI-TECH FILMS LTD","GRWRHITECH","50"
"GUJ STATE FERT & CHEM LTD","GSFC","60"
"GUJARAT STATE PETRO LTD","GSPL","65"
"GUFIC BIOSCIENCES LTD.","GUFICBIO","40"
"GUJARAT ALKALIES & CHEM","GUJALKALI","55"
"GUJARAT GAS LIMITED","GUJGASLTD","65"
"GUJARAT THEMIS BIOSYN LTD","GUJTHEM","50"
"GULF OIL LUB. IND. LTD.","GULFOILLUB","60"
"HINDUSTAN AERONAUTICS LTD","HAL","65"
"HAPPIEST MINDS TECHNO LTD","HAPPSTMNDS","65"
"HAPPY FORGINGS LIMITED","HAPPYFORGE","55"
"HARSHA ENGINEERS INT LTD","HARSHA","55"
"HATHWAY CABLE & DATACOM","HATHWAY","55"
"HATSUN AGRO PRODUCT LTD.","HATSUN","55"
"HAVELLS INDIA LIMITED","HAVELLS","70"
"HBL ENGINEERING LTD","HBLENGINE","50"
"HEALTHCARE GLOB. ENT. LTD","HCG","65"
"HCL TECHNOLOGIES LTD","HCLTECH","70"
"HDFC AMC LIMITED","HDFCAMC","65"
"HDFC BANK LTD","HDFCBANK","70"
"HDFC GOLD ETF","HDFCGOLD","0"
"HDFC LIFE INS CO LTD","HDFCLIFE","70"
"HDFCAMC - HDFCNEXT50","HDFCNEXT50","70"
"HDFCAMC - HDFCNIFBAN","HDFCNIFBAN","70"
"HDFCAMC - HDFCNIFTY","HDFCNIFTY","75"
"HDFCAMC - HDFCSILVER","HDFCSILVER","0"
"HDFCAMC - HDFCSML250","HDFCSML250","70"
"ICICIPRAMC - ICICIPHARM","HEALTHIETF","70"
"HEG LTD","HEG","55"
"HEIDELBERGCEMENT (I) LTD","HEIDELBERG","60"
"HEMISPHERE PROP IND LTD","HEMIPROP","50"
"HERITAGE FOODS LTD","HERITGFOOD","50"
"HERO MOTOCORP LIMITED","HEROMOTOCO","70"
"HEUBACH COLORANTS IND LTD","HEUBACHIND","50"
"HEXAWARE TECHNOLOGIES LTD","HEXT","70"
"HFCL LIMITED","HFCL","50"
"H.G.INFRA ENGINEERING LTD","HGINFRA","60"
"HIKAL LIMITED","HIKAL","60"
"HIMATSINGKA SEIDE LTD","HIMATSEIDE","50"
"HINDALCO  INDUSTRIES  LTD","HINDALCO","65"
"HINDUSTAN COPPER LTD","HINDCOPPER","55"
"HINDUSTAN OIL EXPLORATION","HINDOILEXP","55"
"HINDUSTAN PETROLEUM CORP","HINDPETRO","65"
"HINDUSTAN UNILEVER LTD.","HINDUNILVR","70"
"HINDWARE HME INOVATON LTD","HINDWAREAP","40"
"HINDUSTAN ZINC LIMITED","HINDZINC","55"
"HI-TECH PIPES LIMITED","HITECH","55"
"HLE GLASCOAT LIMITED","HLEGLAS","50"
"HINDUSTAN FOODS LIMITED","HNDFDS","55"
"NIP IND ETF HANGSENG BEES","HNGSNGBEES","75"
"HOME FIRST FIN CO IND LTD","HOMEFIRST","60"
"HONASA CONSUMER LIMITED","HONASA","60"
"HONEYWELL AUTOMATION IND","HONAUT","70"
"HONDA I POWER PRODUCT LTD","HONDAPOWER","40"
"HPL ELECTRIC & POWER LTD","HPL","50"
"HIMADRI SPECIALITY CHEM L","HSCL","60"
"HSG & URBAN DEV CORPN LTD","HUDCO","50"
"HUHTAMAKI INDIA LIMITED","HUHTAMAKI","55"
"HYUNDAI MOTOR INDIA LTD","HYUNDAI","70"
"ICICIPRAMC - BHARATIWIN","ICICIB22","70"
"ICICI BANK LTD.","ICICIBANK","70"
"ICICI LOMBARD GIC LIMITED","ICICIGI","70"
"ICICI PRU LIFE INS CO LTD","ICICIPRULI","70"
"INDO COUNT INDUSTRIES LTD","ICIL","50"
"ICRA LIMITED","ICRA","65"
"IDBI BANK LIMITED","IDBI","55"
"IDEAFORGE TECHNO LTD","IDEAFORGE","50"
"IDFC FIRST BANK LIMITED","IDFCFIRSTB","65"
"INDIAN ENERGY EXC LTD","IEX","55"
"IFB INDUSTRIES LTD","IFBIND","55"
"IFCI LTD","IFCI","0"
"INTERNATIO GEMM INS (I) L","IGIL","50"
"INDRAPRASTHA GAS LTD","IGL","60"
"I G PETROCHEMICALS LTD","IGPL","50"
"IIFL FINANCE LIMITED","IIFL","60"
"IIFL CAPITAL SERVICES LTD","IIFLCAPS","50"
"INVENTURUS KNOWLEDGE SO L","IKS","55"
"IMAGICAAWORLD ENT LTD","IMAGICAA","40"
"INDIAN METALS & FERRO","IMFA","55"
"INDEGENE LIMITED","INDGN","65"
"THE INDIAN HOTELS CO. LTD","INDHOTEL","65"
"THE INDIA CEMENTS LIMITED","INDIACEM","60"
"INDIA GLYCOLS LTD","INDIAGLYCO","60"
"INDIAMART INTERMESH LTD","INDIAMART","65"
"INDIAN BANK","INDIANB","60"
"INDIA SHELTER FIN CORP L","INDIASHLTR","60"
"INTERGLOBE AVIATION LTD","INDIGO","70"
"INDIGO PAINTS LIMITED","INDIGOPNTS","65"
"INDOCO REMEDIES LTD.","INDOCO","50"
"INDRAPRASTHA MEDICAL CORP","INDRAMEDCO","50"
"INDUSIND BANK LIMITED","INDUSINDBK","55"
"INDUS TOWERS LIMITED","INDUSTOWER","65"
"INFIBEAM AVENUES LIMITED","INFIBEAM","55"
"NIP IND ETF INFRA BEES","INFRABEES","70"
"ICICIPRAMC - ICICIINFRA","INFRAIETF","70"
"INFOSYS LIMITED","INFY","70"
"INGERSOLL-RAND INDIA LTD","INGERRAND","55"
"INNOVA CAPTAB LIMITED","INNOVACAP","60"
"INOX INDIA LIMITED","INOXINDIA","60"
"INOX WIND LIMITED","INOXWIND","50"
"INSECTICIDES (I) LTD","INSECTICID","50"
"INTELLECT DESIGN ARENA","INTELLECT","60"
"INDIAN OVERSEAS BANK","IOB","60"
"INDIAN OIL CORP LTD","IOC","65"
"IOL CHEM AND PHARMA LTD","IOLCP","55"
"ION EXCHANGE (INDIA) LTD","IONEXCHANG","55"
"IPCA LABORATORIES LTD","IPCALAB","65"
"INDIA PESTICIDES LIMITED","IPL","55"
"IRB INFRA DEV LTD.","IRB","55"
